#SampleID	ERR4674680	ERR4674710	ERR4674740	ERR4674760	ERR4674651	ERR4674671	ERR4674701	ERR4674731	ERR4674751	ERR4674781	ERR4674662	ERR4674692	ERR4674722	ERR4674742	ERR4674772	ERR4674643	ERR4674683	ERR4674713	ERR4674763	ERR4674654	ERR4674674	ERR4674704	ERR4674734	ERR4674754	ERR4674665	ERR4674695	ERR4674725	ERR4674745	ERR4674775	ERR4674646	ERR4674686	ERR4674716	ERR4674766	ERR4674657	ERR4674677	ERR4674707	ERR4674737	ERR4674757	ERR4674648	ERR4674668	ERR4674698	ERR4674728	ERR4674748	ERR4674778	ERR4674659	ERR4674689	ERR4674719	ERR4674769
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	1	0	0	0	0	2	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Gardnerella	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Candidatus_Actinomarinales	69	3	0	5	12	3	24	1	0	8	0	5	0	0	16	8	40	5	12	24	0	3	0	4	0	37	0	1	3	14	33	17	9	0	48	0	5	0	2	10	0	0	0	2	11	73	1	8
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Candidatus_Actinomarinales;f__Candidatus_Actinomarinaceae	66	5	0	8	9	1	17	1	0	8	0	4	0	0	16	10	37	7	11	37	1	2	0	1	0	27	0	0	4	8	32	20	7	0	50	0	0	0	3	16	0	0	0	0	5	53	0	17
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Candidatus_Actinomarinales;f__Candidatus_Actinomarinaceae;g__Candidatus_Actinomarina	3128	121	0	391	421	64	768	20	0	545	0	149	1	0	1135	382	2486	245	457	1177	31	140	1	114	2	1705	0	0	97	273	1597	496	436	0	2246	17	1	1	45	662	0	4	2	28	451	2252	3	474
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Candidatus_Nanopelagicales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Candidatus_Nanopelagicales;f__Candidatus_Nanopelagicaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Actinobacteria;o__Candidatus_Nanopelagicales;f__Candidatus_Nanopelagicaceae;g__Candidatus_Planktophila	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0
