#SampleID	ERR2010979	ERR315850	ERR315851	ERR315852	ERR315853	ERR315854	ERR315855
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Winogradskyella	1	0	0	0	1	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Zeaxanthinibacter	0	0	0	0	0	3	0
sk__Bacteria;k__;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Zunongwangia	1	0	3	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Saprospiria;o__Saprospirales	0	0	0	0	0	0	1
sk__Bacteria;k__;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Haliscomenobacteraceae;g__Phaeodactylibacter	0	0	0	1	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Lewinellaceae	1	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Lewinellaceae;g__Lewinella	0	0	0	0	0	1	0
sk__Bacteria;k__;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae	6	0	0	0	0	2	0
sk__Bacteria;k__;p__Bacteroidetes;c__Saprospiria;o__Saprospirales;f__Saprospiraceae;g__Aureispira	4	0	0	0	0	0	0
sk__Bacteria;k__;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	0	9	46	17	11	2	3
sk__Bacteria;k__;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium	0	0	2	0	0	0	0
sk__Bacteria;k__;p__Balneolaeota;c__Balneolia;o__Balneolales	0	0	32	0	16	13	2
sk__Bacteria;k__;p__Balneolaeota;c__Balneolia;o__Balneolales;f__Balneolaceae	0	0	95	14	63	4	2
sk__Bacteria;k__;p__Balneolaeota;c__Balneolia;o__Balneolales;f__Balneolaceae;g__Balneola	0	91	481	22	118	82	37
sk__Bacteria;k__;p__Calditrichaeota;c__Calditrichae;o__Calditrichales	0	0	1	0	0	0	0
sk__Bacteria;k__;p__Candidatus_Campbellbacteria	0	1	0	0	0	0	0
sk__Bacteria;k__;p__Candidatus_Gracilibacteria	0	0	0	0	0	0	1
sk__Bacteria;k__;p__Candidatus_Kaiserbacteria	0	89	46	0	0	0	0
sk__Bacteria;k__;p__Candidatus_Komeilibacteria	0	0	1	1	0	0	0
sk__Bacteria;k__;p__Candidatus_Magasanikbacteria	2	0	0	0	0	0	0
sk__Bacteria;k__;p__Candidatus_Margulisbacteria	3	3	3	0	0	0	0
sk__Bacteria;k__;p__Candidatus_Margulisbacteria;c__Candidatus_Riflemargulisbacteria	0	0	0	0	0	0	1
sk__Bacteria;k__;p__Candidatus_Marinimicrobia	552	217	443	111	154	191	66
sk__Bacteria;k__;p__Candidatus_Marinimicrobia;c__;o__;f__;g__;s__Marinimicrobia_bacterium_JGI_0000113-D11	10	32	21	4	1	0	2
sk__Bacteria;k__;p__Candidatus_Marinimicrobia;c__;o__;f__;g__;s__Marinimicrobia_bacterium_SCGC_AAA003-E22	81	9	0	0	0	0	0
sk__Bacteria;k__;p__Candidatus_Peregrinibacteria	12	0	0	1	0	0	1
sk__Bacteria;k__;p__Candidatus_Poribacteria	1	0	0	0	0	0	0
sk__Bacteria;k__;p__Candidatus_Shapirobacteria	0	0	0	0	1	0	0
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia	1	0	0	0	0	0	0
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales	5	0	0	0	0	0	0
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae	4	0	0	0	0	0	0
sk__Bacteria;k__;p__Chlamydiae;c__Chlamydiia;o__Parachlamydiales	4	0	1	0	0	0	0
sk__Bacteria;k__;p__Chloroflexi	8	0	0	1	2	0	14
sk__Bacteria;k__;p__Chloroflexi;c__Anaerolineae	0	0	5	0	2	1	2
sk__Bacteria;k__;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales	3	0	0	0	0	0	0
sk__Bacteria;k__;p__Chloroflexi;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae	13	0	0	0	0	0	0
sk__Bacteria;k__;p__Chloroflexi;c__Dehalococcoidia	192	0	134	237	114	2	6
sk__Bacteria;k__;p__Chloroflexi;c__Thermomicrobia;o__Thermomicrobiales	0	0	1	0	0	0	0
sk__Bacteria;k__;p__Cyanobacteria	259	60	259	579	330	249	462
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Chroococcales	0	3	8	4	1	1	1
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Nostocales	9	66	20	21	18	2	2
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Nostocales;f__Nostocaceae	0	0	0	3	0	0	0
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Nostocales;f__Stigonemataceae	0	0	0	1	0	0	0
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Pleurocapsales;f__Xenococcaceae	0	0	0	0	1	0	0
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales	2337	222	1391	3159	1143	864	1453
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Leptolyngbyaceae	0	0	0	0	1	0	0
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae	5	0	0	0	0	0	0
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus	299	50	82	152	17	32	37
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Prochloraceae;g__Prochlorococcus;s__Prochlorococcus_marinus	0	0	0	0	0	0	2
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae	0	6	74	48	56	16	5
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus	0	11	61	59	34	9	6
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Candidatus_Synechococcus_spongiarum	0	0	1	0	0	0	0
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus_sp._CCMP839	0	0	5	1	4	2	0
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus_sp._IOCAS0401	0	0	1	0	0	0	0
sk__Bacteria;k__;p__Cyanobacteria;c__;o__Synechococcales;f__Synechococcaceae;g__Synechococcus;s__Synechococcus_sp._PS845	0	0	0	0	0	0	1
sk__Bacteria;k__;p__Cyanobacteria;c__Gloeobacteria	0	0	0	0	1	0	0
sk__Bacteria;k__;p__Cyanobacteria;c__Gloeobacteria;o__Gloeobacterales	0	0	0	0	0	1	0
sk__Bacteria;k__;p__Deinococcus-Thermus;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus	0	0	1	0	0	0	0
sk__Bacteria;k__;p__Deinococcus-Thermus;c__Deinococci;o__Deinococcales;f__Deinococcaceae;g__Deinococcus;s__Deinococcus_reticulitermitis	0	0	3	0	0	0	0
sk__Bacteria;k__;p__Deinococcus-Thermus;c__Deinococci;o__Thermales;f__Thermaceae;g__Thermus	0	0	3	4	0	0	0
sk__Bacteria;k__;p__Firmicutes	1	40	3	1	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli	0	4	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales	0	29	2	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	0	0	0	1	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Planococcus	0	0	0	1	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	0	0	1	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Nosocomiicoccus	0	0	4	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Nosocomiicoccus;s__Nosocomiicoccus_massiliensis	0	0	1	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus	0	17	5	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_hominis	0	3	0	0	0	0	0
sk__Bacteria;k__;p__Firmicutes;c__Bacilli;o__Lactobacillales	0	2	0	5	0	0	0
