#SampleID	ERR2271620	ERR2271630	ERR2271640	ERR2271650	ERR2271660	ERR2271670	ERR2271621	ERR2271631	ERR2271641	ERR2271651	ERR2271661	ERR2271671	ERR2271622	ERR2271632	ERR2271642	ERR2271652	ERR2271662	ERR2271672	ERR2271623	ERR2271633	ERR2271643	ERR2271653	ERR2271663	ERR2271673	ERR2271614	ERR2271624	ERR2271634	ERR2271644	ERR2271654	ERR2271664	ERR2271674	ERR2271615	ERR2271625	ERR2271635	ERR2271645	ERR2271655	ERR2271665	ERR2271675	ERR2271616	ERR2271626	ERR2271636	ERR2271646	ERR2271656	ERR2271666	ERR2271676	ERR2271617	ERR2271627	ERR2271637	ERR2271647	ERR2271657	ERR2271667	ERR2271677	ERR2271618	ERR2271628	ERR2271638	ERR2271648	ERR2271658	ERR2271668	ERR2271678	ERR2271619	ERR2271629	ERR2271639	ERR2271649	ERR2271659	ERR2271669	ERR2271679	ERR3130420	ERR3130421	ERR3130422	ERR3130423	ERR3130424	ERR3130415	ERR3130425	ERR3130416	ERR3130426	ERR3130417	ERR3130427	ERR3130418	ERR3130428	ERR3130419	ERR3130429
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae	1	0	4	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Vicinamibacteria;o__;f__Vicinamibacteraceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria	27	6	1	0	0	0	36	19	61	0	0	0	30	62	28	0	0	0	59	15	63	0	0	0	36	36	18	59	0	0	0	61	74	32	41	0	0	0	141	37	27	43	0	0	0	24	45	0	0	0	0	0	27	66	107	0	0	0	0	28	41	93	0	0	0	0	3	0	3	0	6	4	9	2	0	1	0	1	1	6	1
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia	127	0	592	0	0	0	15	0	3	0	0	0	13	100	47	0	0	0	45	1	115	0	0	0	4	7	2	50	0	0	0	59	44	5	42	0	0	0	112	25	16	57	0	0	0	56	0	350	0	0	0	0	6	6	60	0	0	0	0	36	141	3	0	0	0	0	8	0	0	41	2	2	17	3	22	6	0	1	4	3	8
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	1	0	0	0	0	0	9	0	2	0	0	0	1	6	0	0	0	0	2	1	1	0	0	0	10	0	0	8	0	0	0	2	1	1	6	0	0	0	16	0	5	8	0	0	0	0	1	0	0	0	0	0	5	1	0	0	0	0	0	10	0	5	0	0	0	0	0	1	1	0	0	2	0	1	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae	4	0	0	0	0	0	10	0	1	0	0	0	3	7	1	0	0	0	5	0	2	0	0	0	6	1	0	12	0	0	0	13	5	1	6	0	0	0	30	1	5	9	0	0	0	1	2	0	0	0	0	0	3	5	0	0	0	0	0	7	2	3	0	0	0	0	0	0	1	1	1	3	0	0	1	0	0	0	1	1	1
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Ilumatobacter	16	4	2	0	0	0	33	4	185	0	0	0	49	94	123	0	0	0	74	21	57	0	0	0	254	36	18	72	0	0	0	148	47	110	102	0	0	0	290	33	55	73	0	0	0	17	59	1	0	0	0	0	39	71	41	0	0	0	0	101	110	57	0	0	0	0	3	5	10	1	0	29	2	7	0	1	4	9	6	2	2
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Ilumatobacter;s__Ilumatobacter_coccineus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
